row_id,final_label,label_name,text_for_model,split_hint,group_split_hint_user,label_quality,candidate_category,clean_review,comment,rating,rating_star,userid,shop_id,item_id,product_title,ctime,char_count,word_count,unique_word_count,unique_word_ratio,repeated_word_count,repetition_score,exclamation_count,uppercase_ratio,high_rating_short_review,user_review_count,user_avg_rating,user_rating_std,seller_review_count,seller_avg_rating,product_review_count,product_avg_rating,is_empty_review
SB2218-0001,0,real_original,seller responsif banget aman juga terpercaya original resmi dari netflixnya diproses cepet banget gak harus nunggu lama very recommended seller next time langganan disini aja dahh saya terima kasih kak,train,test,prefilled_rule_from_uncertain_pool,prefilled_real_from_uncertain,seller responsif banget aman juga terpercaya original resmi dari netflixnya diproses cepet banget gak harus nunggu lama very recommended seller next time langganan disini aja dahh saya terima kasih kak,"Seller responsif banget, aman juga terpercaya original resmi dari netflixnya, diproses cepet banget gak harus nunggu lama, very recommended seller next time langganan disini aja dahh saya... Terima kasih kak :).",1.0,5.0,172755388.0,26447023.0,7721416130.0,Akun Netflix Premium Sharing Private 1 Bulan 6 Bulan 12 Bulan 1 Tahun Original Garansi Resmi Legal,1586354205.0,201,30,28,0.9333333333333332,2,0.0666666666666666,0,0.0116279069767441,0,1,5.0,0.0,17,5.0,17,5.0,0
SB2218-0002,1,suspicious_fake_like,mantap terbaik ini mah sukses terus dan semoga bisa tetap konsisten produk dan pelayanannya,train,train,prefilled_rule_from_uncertain_pool,prefilled_suspicious_from_uncertain,mantap terbaik ini mah sukses terus dan semoga bisa tetap konsisten produk dan pelayanannya,"Mantap..terbaik ini mah..
Sukses terus dan semoga bisa tetap konsisten produk dan pelayanannya",1.0,5.0,240577911.0,52886923.0,845101022.0,"[TRUSTED]NETFLIX PREMIUM, 4K 4 Devices - Bukan Shared, Resmi dan Legal",1586859711.0,91,14,13,0.9285714285714286,1,0.0714285714285714,0,0.0256410256410256,0,1,5.0,0.0,119,4.453781512605042,50,4.0,0
SB2218-0003,1,suspicious_fake_like,bagusss,train,train,processing_final_draft_rule_label,suspicious_candidate,bagusss,Bagusss,1.0,5.0,11268420.0,160512659.0,2400817984.0,NordVPN Premium | High Quality |,1583297863.0,7,1,1,1.0,0,0.0,0,0.1428571428571428,1,1,5.0,0.0,100,4.95,50,4.96,0
SB2218-0004,1,suspicious_fake_like,produk nya berkualitas banget seller responsif ehehe fastresp juga termasuknya trusted kok ehehe udah banyak yang pesen disini juga,test,valid,processing_final_draft_rule_label,suspicious_candidate,produk nya berkualitas banget seller responsif ehehe fastresp juga termasuknya trusted kok ehehe udah banyak yang pesen disini juga,"Produk nya berkualitas banget
Seller responsif ehehe
Fastresp juga termasuknya
Trusted kok ehehe,udah banyak yang pesen disini juga",1.0,5.0,22987580.0,7146514.0,1879939649.0,Netflix Premium 1 Bulan Anti On Hold GARANSI FULL Baca Desk,1588399444.0,131,19,17,0.8947368421052632,2,0.1052631578947368,0,0.0353982300884955,0,35,5.0,0.0,50,5.0,50,5.0,0
SB2218-0005,0,real_original,mantab perlu di coba buat yang lainya jan ragu seller enak juga gak cuek recommend deh,train,valid,processing_final_draft_rule_label,real_candidate,mantab perlu di coba buat yang lainya jan ragu seller enak juga gak cuek recommend deh,"Mantab, perlu di coba buat yang lainya. Jan ragu seller enak juga gak cuek. Recommend deh",1.0,5.0,123068482.0,32371993.0,7716268719.0,Netflix Premium Account (PRIVATE) FULL GA,1587089021.0,86,16,16,1.0,0,0.0,0,0.0422535211267605,0,5,5.0,0.0,50,5.0,50,5.0,0
SB2218-0006,1,suspicious_fake_like,mantaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp0ppppppppppppppppppppppppppppppppppppp,valid,valid,processing_final_draft_rule_label,suspicious_candidate,mantaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp0ppppppppppppppppppppppppppppppppppppp,Mantaaaaaaaaaaaaaaaaaaaaaapppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp0ppppppppppppppppppppppppppppppppppppp,1.0,5.0,20864677.0,160512659.0,2400817984.0,NordVPN Premium | High Quality |,1585809359.0,132,1,1,1.0,0,0.0,0,0.0076335877862595,1,1,5.0,0.0,100,4.95,50,4.96,0
SB2218-0007,0,real_original,suka sekali belanja disini terimakasih banyak seller sukses terus,test,valid,prefilled_rule_from_uncertain_pool,prefilled_real_from_uncertain,suka sekali belanja disini terimakasih banyak seller sukses terus,"Suka sekali belanja disini, terimakasih banyak seller sukses terus",1.0,5.0,69029871.0,168437144.0,4830041044.0,Voucher netflix 1 ,1589279806.0,65,9,9,1.0,0,0.0,0,0.0175438596491228,0,1,5.0,0.0,50,5.0,50,5.0,0
SB2218-0008,0,real_original,mantap fast respons dan sangat2 recommended keep up ya,valid,train,prefilled_rule_from_uncertain_pool,prefilled_real_from_uncertain,mantap fast respons dan sangat2 recommended keep up ya,"Mantap, fast respons dan sangat2 recommended, keep up ya! 🙏",1.0,5.0,158044546.0,27662419.0,2218955862.0,Netflix Premium Tidak Akan On Hold 30 Hari Garansi,1585148249.0,54,9,9,1.0,0,0.0,1,0.0222222222222222,0,1,5.0,0.0,95,4.831578947368421,50,4.96,0
SB2218-0009,1,suspicious_fake_like,mantap cepet ramahh joss langsung gercep mantap cepet ramahh joss langsung gercep,train,train,prefilled_rule_from_uncertain_pool,prefilled_suspicious_from_uncertain,mantap cepet ramahh joss langsung gercep mantap cepet ramahh joss langsung gercep,"Mantap cepet ramahh joss langsung gercep
Mantap cepet ramahh joss langsung gercep",1.0,5.0,34915742.0,14590629.0,3931808012.0,TERMURAH! NETFLIX PREMIUM SHARING 30 HARI BERGARANSI ANTI ON,1588504672.0,81,12,6,0.5,6,0.5,0,0.0285714285714285,0,1,5.0,0.0,50,5.0,50,5.0,0
SB2218-0010,0,real_original,respon balas chatnya cepat bgt pas udah atc cuma nunggu setengah jam dan langsung di kasih akunnya semoga aman ys sampai sebulan kalau gak ada kendala bakalan order lagi thanks,train,train,processing_final_draft_rule_label,real_candidate,respon balas chatnya cepat bgt pas udah atc cuma nunggu setengah jam dan langsung di kasih akunnya semoga aman ys sampai sebulan kalau gak ada kendala bakalan order lagi thanks,"Respon balas chatnya cepat bgt, pas udah atc cuma nunggu setengah jam dan langsung di kasih akunnya. Semoga aman ys sampai sebulan, kalau gak ada kendala bakalan order lagi. Thanks",1.0,5.0,7364339.0,15666501.0,2415566318.0,[TERLARIS] Netflix Premium Plan Akun Pribadi & Sharing (1 Bulan) GARANSI + NOR,1590586848.0,176,30,30,1.0,0,0.0,0,0.0204081632653061,0,1,5.0,0.0,50,5.0,50,5.0,0
